symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
RUN,2021-11-15,2021-11-15,57.99,56.97,59.87,205,,,2021-11-16,56.94,stop,1,-1.03,-214.76,unr_ema8,5.58,11.46,0.25,exact
FCEL,2021-11-05,2021-11-05,268.63,259.31,267.9,122,,,2021-11-17,307.05,trail_ema,8,4.12,4686.28,unr_ema8,9.51,1.02,0.23,exact
HUT,2021-11-16,2021-11-16,69.53,66.58,82.85,390,,,2021-11-17,66.54,stop,1,-1.01,-1166.79,unr_ema21,9.85,8.56,0.19,exact
XPEV,2021-11-18,2021-11-18,47.29,45.75,49.49,736,,,2021-11-19,46.87,trail_ema,1,-0.28,-314.33,unr_ema21,5.52,11.17,0.48,exact
GME,2021-11-15,2021-11-15,52.31,50.25,63.92,3,,,2021-11-23,53.45,trail_ema,6,0.55,3.41,unr_ema8,7.18,11.53,0.27,exact
AMC,2021-11-19,2021-11-19,408.9,395.36,417.8,84,,,2021-11-23,395.16,stop,2,-1.01,-1154.44,unr_pdl,6.46,8.19,0.44,exact
TSLA,2021-11-17,2021-11-17,363.18,350.82,414.5,90,,,2021-11-26,360.46,trail_ema,6,-0.22,-245.26,unr_ema8,5.89,8.68,0.28,exact
TTD,2021-11-22,2021-11-22,103.32,98.43,114.09,143,,,2021-11-30,103.37,trail_ema,5,0.01,6.67,unr_ema8,6.3,3.04,0.17,exact
ENVX,2021-11-15,2021-11-15,32.63,31.29,34.8,861,,,2021-12-01,33.03,trail_ema,11,0.3,350.57,unr_pdl,9.2,9.2,0.4,exact
TSLA,2021-11-29,2021-11-29,379.19,365.68,400.65,82,,,2021-12-01,365.5,stop,2,-1.01,-1122.64,unr_ema8,5.9,6.97,0.42,exact
NVDA,2021-11-30,2021-11-30,32.62,31.72,32.24,1226,,,2021-12-01,31.7,stop,1,-1.02,-1130.5,unr_pdl,5.37,1.09,0.4,exact
NVDA,2021-12-02,2021-12-02,32.08,30.88,32.24,892,,,2021-12-03,30.86,stop,1,-1.01,-1083.57,unr_pdl,5.64,2.11,0.44,exact
AMD,2021-12-02,2021-12-02,150.76,146.08,155.65,228,,,2021-12-03,146.01,stop,1,-1.02,-1082.15,unr_pdl,5.35,2.37,0.23,exact
ENVX,2021-12-02,2021-12-02,33.73,32.25,34.8,722,,,2021-12-03,32.23,stop,1,-1.01,-1080.73,unr_pdl,9.75,4.4,0.32,exact
NVDA,2021-12-08,2021-12-08,31.78,31.28,32.24,2086,,,2021-12-09,31.27,stop,1,-1.03,-1070.01,unr_ema8,5.08,2.41,0.13,exact
SNOW,2021-12-15,2021-12-15,360.52,343.9,375.0,61,,,2021-12-16,343.73,stop,1,-1.01,-1024.1,unr_ema8,6.42,1.24,0.12,exact
NVDA,2021-12-29,2021-12-29,29.96,29.23,31.1,1393,,,2021-12-30,29.51,trail_ema,1,-0.61,-618.37,unr_ema8,5.57,2.62,0.12,exact
TSLA,2021-12-29,2021-12-29,362.24,353.82,390.95,98,,,2021-12-30,353.6,stop_gap,1,-1.03,-847.17,unr_pdl,5.47,5.56,0.14,exact
TTD,2021-12-30,2021-12-30,94.32,91.56,98.6,363,,,2021-12-31,91.59,trail_ema,1,-0.99,-988.43,unr_ema8,5.55,2.1,0.09,exact
DDOG,2021-12-29,2021-12-29,179.8,172.14,185.95,132,,,2022-01-03,172.05,stop,3,-1.01,-1022.94,unr_pdl,6.99,2.33,0.3,exact
APP,2021-12-30,2021-12-30,94.04,90.24,96.98,263,,,2022-01-04,90.19,stop,3,-1.01,-1010.83,unr_ema8,6.71,2.02,0.26,exact
LI,2022-01-03,2022-01-03,32.36,31.26,32.86,918,,,2022-01-04,31.25,stop,1,-1.01,-1017.52,unr_pdl,5.87,5.72,0.48,exact
TSLA,2021-12-30,2021-12-30,356.96,350.19,390.95,48,,,2022-01-05,362.53,trail_ema,4,0.82,267.21,unr_pdl,5.3,8.0,0.12,exact
TSLA,2022-01-06,2022-01-06,355.08,339.26,373.0,60,,,2022-01-07,339.09,stop,1,-1.01,-958.97,unr_ema21,5.4,1.31,0.06,exact
XPEV,2022-01-06,2022-01-06,46.68,45.13,50.4,619,,,2022-01-07,45.1,stop,1,-1.01,-977.45,unr_pdl,6.09,5.18,0.26,exact
TSLA,2022-01-11,2022-01-11,354.98,345.34,373.0,98,,,2022-01-13,345.17,stop,2,-1.02,-961.2,unr_ema21,5.56,2.61,0.1,exact
MARA,2022-03-23,2022-03-23,29.26,28.4,31.44,761,,,2022-03-24,28.38,stop,1,-1.02,-671.71,unr_pdl,9.82,6.54,0.2,exact
CRSP,2022-03-24,2022-03-24,64.43,61.35,66.5,314,,,2022-03-25,62.11,trail_ema,1,-0.75,-729.51,unr_pdl,7.1,1.37,0.21,exact
BABA,2022-03-24,2022-03-24,108.42,103.98,120.45,12,,,2022-03-25,103.92,stop,1,-1.01,-53.91,unr_pdl,6.93,6.99,0.37,exact
RUN,2022-03-25,2022-03-25,31.34,30.25,31.9,657,,,2022-03-30,30.94,trail_ema,3,-0.36,-256.98,unr_ema8,8.04,1.18,0.14,exact
RIOT,2022-03-23,2022-03-23,20.85,19.87,20.83,11,,,2022-03-31,21.16,trail_ema,6,0.31,3.4,unr_pdl,9.58,1.82,0.42,exact
MRVL,2022-03-28,2022-03-28,73.12,70.57,73.89,3,,,2022-03-31,70.54,stop,3,-1.01,-7.74,unr_pdl,5.94,1.69,0.34,exact
FSLR,2022-03-21,2022-03-21,77.43,75.75,78.87,558,,,2022-04-05,80.29,trail_ema,11,1.71,1596.52,unr_pdl,5.62,1.2,0.06,exact
DDOG,2022-03-31,2022-03-31,151.55,147.48,166.99,135,,,2022-04-05,147.41,stop,3,-1.02,-558.92,unr_pdl,7.98,17.39,0.28,exact
MARA,2022-04-01,2022-04-01,28.55,27.26,31.44,11,,,2022-04-05,27.25,stop,2,-1.01,-14.39,unr_pdl,8.76,5.33,0.28,exact
PLUG,2022-03-21,2022-03-21,25.82,24.95,25.81,1077,,,2022-04-06,28.28,trail_ema,12,2.83,2641.83,unr_pdl,8.49,1.11,0.24,exact
DASH,2022-04-06,2022-04-06,113.66,106.16,116.0,127,,,2022-04-07,110.85,trail_ema,1,-0.37,-355.89,unr_ema21,8.6,1.3,0.37,exact
LI,2022-04-06,2022-04-06,27.53,26.64,28.9,1069,,,2022-04-07,26.63,stop,1,-1.01,-968.56,unr_ema8,8.45,2.42,0.11,exact
CRWD,2022-04-07,2022-04-07,54.28,52.43,58.22,508,,,2022-04-08,54.53,trail_ema,1,0.13,122.22,unr_ema21,5.46,10.09,0.47,exact
RBLX,2022-07-19,2022-07-19,39.87,38.01,44.5,508,,,2022-07-22,39.38,trail_ema,3,-0.26,-248.73,unr_pdl,8.44,4.71,0.24,exact
MRNA,2022-07-19,2022-07-19,167.22,160.78,180.73,146,,,2022-07-22,163.44,trail_ema,3,-0.59,-552.66,unr_pdl,6.64,10.19,0.46,exact
CRWD,2022-07-19,2022-07-19,45.16,43.51,45.47,569,,,2022-07-26,43.48,stop,5,-1.01,-953.85,unr_pdl,5.54,1.93,0.4,exact
RBLX,2022-07-25,2022-07-25,39.86,37.6,44.5,425,,,2022-07-26,38.98,trail_ema,1,-0.39,-373.75,unr_pdl,7.8,4.26,0.33,exact
MRNA,2022-07-25,2022-07-25,165.77,158.64,180.73,76,,,2022-07-26,160.82,trail_ema,1,-0.69,-376.45,unr_pdl,6.29,6.91,0.44,exact
NTLA,2022-07-25,2022-07-25,65.5,61.12,71.96,219,,,2022-07-29,64.73,trail_ema,4,-0.18,-169.75,unr_pdl,7.99,2.5,0.27,exact
NTLA,2022-07-29,2022-07-29,64.79,62.59,71.96,216,,,2022-08-01,62.55,stop,1,-1.01,-483.36,unr_pdl,7.81,3.65,0.03,exact
CRSP,2022-08-04,2022-08-04,78.95,75.77,80.91,171,,,2022-08-05,75.74,stop,1,-1.01,-549.39,unr_pdl,6.47,1.64,0.24,exact
CELH,2022-07-19,2022-07-19,25.14,24.3,26.78,941,,,2022-08-09,31.11,trail_ema,15,7.1,5619.53,unr_pdl,7.61,2.48,0.07,exact
RIVN,2022-07-26,2022-07-26,31.71,30.76,32.79,801,,,2022-08-15,37.26,trail_ema,14,5.89,4449.97,unr_pdl,6.71,3.63,0.25,exact
RBLX,2022-07-26,2022-07-26,39.02,37.72,44.5,720,,,2022-08-16,47.74,trail_ema,15,6.7,6275.96,unr_ema21,7.69,36.01,0.39,exact
NTLA,2022-08-10,2022-08-10,66.57,61.12,69.34,7,,,2022-08-16,64.14,trail_ema,4,-0.45,-17.05,unr_ema8,7.16,1.4,0.45,exact
