symbol,signal_date,entry_date,entry,stop,target,shares,partial_date,partial_exit,exit_date,exit,reason,bars_held,R,pnl,setup,adr_pct,rr_planned,chase_adr,resolution
RBLX,2021-08-23,2021-08-23,85.1,80.64,83.25,214,,,2021-08-27,85.36,trail_ema,4,0.06,54.52,unr_pdl,5.34,4.35,0.95,exact
MSTR,2021-08-27,2021-08-27,70.76,69.32,74.78,600,,,2021-08-30,70.26,trail_ema,1,-0.34,-294.9,unr_ema8,5.56,3.33,0.04,exact
RIOT,2021-08-24,2021-08-24,37.65,34.72,35.39,5,,,2021-09-01,36.48,trail_ema,6,-0.4,-5.84,unr_pdl,7.84,1.09,0.99,exact
AMD,2021-08-23,2021-08-23,108.82,104.59,111.71,318,,,2021-09-02,109.15,trail_ema,8,0.08,102.08,unr_ema8,5.32,2.74,0.42,exact
RBLX,2021-09-01,2021-09-01,84.49,80.7,83.25,168,,,2021-09-03,82.83,trail_ema,2,-0.44,-279.49,unr_pdl,5.15,2.6,0.73,exact
GME,2021-09-02,2021-09-02,53.41,51.4,56.75,6,,,2021-09-03,51.37,stop,1,-1.01,-12.2,unr_pdl,8.06,7.83,0.39,exact
MARA,2021-08-19,2021-08-19,31.83,29.98,33.72,701,,,2021-09-07,39.37,trail_ema,12,4.09,5288.62,unr_pdl,8.17,12.84,0.65,exact
NTLA,2021-08-31,2021-08-31,160.61,152.62,178.0,174,,,2021-09-07,163.17,trail_ema,4,0.32,445.11,unr_ema8,7.61,4.87,0.32,exact
AFRM,2021-08-27,2021-08-27,67.93,65.89,68.78,6,,,2021-09-08,87.5,trail_ema,7,9.58,117.37,unr_ema21,6.59,8.52,0.41,exact
GME,2021-09-08,2021-09-08,49.72,47.48,56.75,652,,,2021-09-09,45.0,stop_gap,1,-2.11,-3080.61,unr_pdl,8.23,5.01,0.18,exact
PDD,2021-09-02,2021-09-02,102.81,99.76,114.88,336,,,2021-09-13,99.71,stop,6,-1.02,-1043.44,unr_pdl,5.57,33.05,0.52,exact
MRNA,2021-09-03,2021-09-03,416.91,387.17,413.3,33,,,2021-09-13,419.51,trail_ema,5,0.09,85.86,unr_pdl,7.85,6.82,0.87,exact
TGTX,2021-09-09,2021-09-09,30.49,28.95,31.82,8,,,2021-09-13,28.93,stop,2,-1.01,-12.44,unr_pdl,5.99,10.74,0.85,exact
AMC,2021-09-03,2021-09-03,440.42,422.76,465.5,1,,,2021-09-14,472.76,trail_ema,6,1.83,32.34,unr_ema8,10.71,4.89,0.26,exact
PDD,2021-09-13,2021-09-13,104.21,98.85,109.79,158,,,2021-09-14,101.73,trail_ema,1,-0.46,-392.31,unr_pdl,5.48,1.57,0.21,exact
GME,2021-09-13,2021-09-13,50.88,47.67,56.75,3,,,2021-09-14,49.79,trail_ema,1,-0.34,-3.27,unr_ema8,9.12,2.92,0.21,exact
HUT,2021-08-27,2021-08-27,38.72,33.45,35.9,262,,,2021-09-15,43.83,trail_ema,12,0.97,1338.49,unr_ema8,9.92,1.65,1.47,exact
APP,2021-09-09,2021-09-09,71.13,68.21,77.03,500,,,2021-09-15,73.53,trail_ema,4,0.83,1203.84,unr_ema21,6.61,3.1,0.17,exact
UPST,2021-08-26,2021-08-26,216.86,210.57,220.11,97,,,2021-09-17,303.17,time_stop,15,13.73,8372.07,unr_pdl,8.16,1.71,0.2,exact
RKLB,2021-09-15,2021-09-15,15.4,14.54,21.34,1679,,,2021-09-17,15.4,trail_ema,2,0.01,7.72,unr_pdl,12.44,10.54,0.16,exact
MRNA,2021-09-15,2021-09-15,434.68,421.05,464.85,89,,,2021-09-17,420.84,stop,2,-1.02,-1231.31,unr_ema8,5.6,6.08,0.33,exact
CELH,2021-08-27,2021-08-27,25.2,23.77,24.53,1,,,2021-09-20,29.88,trail_ema,15,3.28,4.68,unr_pdl,6.19,1.48,0.78,exact
AFRM,2021-09-09,2021-09-09,92.11,86.54,100.0,192,,,2021-09-20,107.65,trail_ema,7,2.79,2983.7,unr_pdl,5.79,21.69,1.1,exact
MRNA,2021-09-17,2021-09-17,430.27,405.75,464.85,60,,,2021-09-20,423.12,trail_ema,1,-0.29,-428.8,unr_pdl,5.62,1.54,0.05,exact
MRNA,2021-09-21,2021-09-21,434.26,419.19,464.85,88,,,2021-09-24,429.92,trail_ema,3,-0.29,-381.22,unr_ema8,5.49,3.28,0.19,exact
CELH,2021-09-21,2021-09-21,30.56,29.75,31.16,13,,,2021-09-27,30.74,trail_ema,4,0.22,2.33,unr_ema8,6.0,2.26,0.22,exact
APP,2021-09-21,2021-09-21,74.13,69.91,77.03,348,,,2021-09-28,72.67,trail_ema,5,-0.34,-505.78,unr_ema8,6.59,1.29,0.23,exact
AFRM,2021-09-21,2021-09-21,108.16,103.63,126.46,324,,,2021-09-28,114.46,trail_ema,5,1.39,2040.77,unr_pdl,7.8,22.55,0.47,exact
RKLB,2021-09-28,2021-09-28,15.57,14.16,21.34,1060,,,2021-09-29,14.65,trail_ema,1,-0.65,-970.02,unr_ema8,12.25,10.3,0.44,exact
CELH,2021-09-28,2021-09-28,30.25,28.91,31.16,1112,,,2021-09-29,30.18,trail_ema,1,-0.05,-81.79,unr_ema21,5.93,2.24,0.36,exact
CELH,2021-09-29,2021-09-29,30.21,29.56,31.16,2298,,,2021-09-30,30.01,trail_ema,1,-0.3,-444.53,unr_ema21,5.78,14.56,0.31,exact
LCID,2021-09-20,2021-09-20,240.82,216.04,229.7,58,,,2021-10-01,245.98,trail_ema,9,0.21,299.08,unr_pdl,5.73,3.57,1.93,exact
TGTX,2021-09-13,2021-09-13,30.1,28.67,31.82,1028,,,2021-10-04,32.19,trail_ema,15,1.48,2157.62,unr_pdl,5.95,2.43,0.32,exact
APP,2021-10-01,2021-10-01,74.82,69.84,77.03,297,,,2021-10-04,71.84,trail_ema,1,-0.6,-883.08,unr_pdl,5.95,2.07,0.61,exact
QS,2021-10-01,2021-10-01,24.52,23.69,24.71,1773,,,2021-10-04,23.68,stop,1,-1.01,-1501.29,unr_pdl,6.35,1.67,0.3,exact
CELH,2021-10-01,2021-10-01,31.41,29.46,31.16,759,,,2021-10-04,29.45,stop,1,-1.01,-1489.51,unr_pdl,6.02,2.17,0.79,exact
LCID,2021-10-04,2021-10-04,241.52,234.51,252.4,203,,,2021-10-05,240.08,trail_ema,1,-0.21,-292.48,unr_ema21,7.43,8.64,0.3,exact
LCID,2021-10-06,2021-10-06,243.02,233.26,282.1,146,,,2021-10-07,243.68,trail_ema,1,0.07,95.87,unr_pdl,7.27,8.15,0.26,exact
CELH,2021-10-11,2021-10-11,31.57,30.91,33.05,2252,,,2021-10-14,30.9,stop,3,-1.02,-1508.42,unr_pdl,5.88,6.08,0.19,exact
UPST,2021-10-06,2021-10-06,307.85,285.73,294.23,64,,,2021-10-20,355.64,trail_ema,10,2.16,3058.45,unr_pdl,7.27,1.91,0.91,exact
HUT,2021-10-04,2021-10-04,48.07,43.46,45.65,308,,,2021-10-22,55.72,trail_ema,14,1.66,2355.62,unr_ema8,8.92,2.88,1.04,exact
LCID,2021-10-18,2021-10-18,253.53,238.89,282.1,106,,,2021-10-22,238.77,stop,4,-1.01,-1564.42,unr_ema8,6.74,23.82,0.79,exact
